sample_id,enriched_date,flat_date,date_diff_days,is_same_day,is_summary_anchor,confidence_score,top_candidates,evidence_summary,places_found_in_flat,persons_found_in_flat,organizations_found_in_flat,enriched_preview,flat_preview
34,1626-10-14,1626-10-14,0,True,True,11201,[],"date: same-day; places: 4/14 matched (Antwerpen, Walcheren, Altena, Heusden); persons: 0/11 matched; orgs: 0/4 matched; anchor: yes; top candidates: ","['Antwerpen', 'Walcheren', 'Altena', 'Heusden']",[],[],"Van Z.Exc. is een brief d.d. 11 okt. ontvangen waarin hij mededeling
 doet van belangwekkende zaken. Spinola heeft
 400.000 gld. naar Duinkerke gestuurd en
 Mansfeld trekt met
 alle schepen
 van
 het land ook die kant op. In Antwerpen zijn
 duizend matrozen
 gemonsterd met het doel een aanval te ple","Heeren Rantwijck, Kelffken, Hend.

Broeckhoven, Antwerpen, Ontfangen een missive van Syn Extie. geschreven den xien. Schagen, Duyck, Vosbergen, deses, Daerby deselve oversent eenige advisen van importantie gedateert den xxijen. Septembris lestleden, houdende datte Marquis Spinola 5oo guldens te Duin"
35,1628-12-16,1628-12-15,1,False,False,251,[],date: 1 day gap; places: 1/16 matched (Amboina); persons: 0/8 matched; orgs: 0/1 matched; anchor: no; top candidates: ,['Amboina'],[],[],"Essen en andere gedeputeerden hebben in aanwezigheid van
 Z.Exc. besprekingen gevoerd met Joachimi. Ten eerste over de
 Oost-Indische Compagnie en over het nakomen van de bepalingen
 inzake het vrijgeven van drie in
 Engeland gearresteerde Oost-Indiëvaarders.
 Verzocht is commissie te depêcheren voo","Getreden sijnde inde vier pointen vant Tractaet van Alliancie met de Croone van Vranckrijck op eenige pointen d'eerste vande aggreatie, t' ije. vande explicatie vande Amiz et Alliez, t' iije vant' emploij vant contresecours, ende t'iiije van niet te mogen tracteren met den Coninck van Spaigne van Tr"
36,1629-09-01,1629-09-01,0,True,True,10901,[],"date: same-day; places: 3/21 matched (Amersfoort, Arnhem, Rees); persons: 0/3 matched; orgs: 0/1 matched; anchor: yes; top candidates: ","['Amersfoort', 'Arnhem', 'Rees']",[],[],"Ontvangen is een brief van het Hof van Gelderland d.d. Arnhem 30 aug., inhoudend dat de keizerlijke troepen onder het gebied van de graaf van Montecuculi direct met de capitulatie te Amersfoort
 vele boeren en hun wagens en paarden beladen met geplunderde
 goederen
 mee hebben genomen. Ze geven HHM ","Ontfangen een missive van t'collegie ter Admiraliteyt tot Amsterdam geschreven aldaer den lesten augusti lestleden houdende, dat niet iegenstaende de sluytinge van eedt ende drinckwaeren gedaen den 19e. July ende 3e. augusti lestleden, de selve in groote abundantie met binnelantsche paspoorten van d"
37,1629-12-07,1629-12-07,0,True,True,10702,[],"date: same-day; places: 2/3 matched (Breda, Emden); persons: 0/6 matched; orgs: 1/8 matched (29); anchor: yes; top candidates: ","['Breda', 'Emden']",[],['29'],"Gelezen is het antwoordGeïnsereerd in S.G. 3188. van thesaurier-generaal Van Goch, de voormalige
 ontvanger-generaal en de
 huidige ontvanger-generaal in
 navolging van de
 resolutie van HHM d.d. 4 dec. over de vele klachten waarmee HHM en
 de
 RvS dagelijks worden overvallen. Het betreft klachten o",Synde gelesen de requeste van d'erffgen onder benefitie van inventaris van wylen Mr. Willem Martini eerste als ords. Raet inden Rade van Brabant Erfgenamen vanden Is hun Supplten na voorgaende deliberatie geconsenteert ende geaccordeert Raetsheer Martinieen half Jaer tractements soo van eerste Raet 
38,1630-01-29,1630-01-29,0,True,True,11201,[],"date: same-day; places: 4/17 matched (Efferen, Goch, Schravelen, Veluwe); persons: 0/7 matched; orgs: 0/0 matched; anchor: yes; top candidates: ","['Efferen', 'Goch', 'Schravelen', 'Veluwe']",[],[],"Rantwyck en andere gedeputeerden van HHM hebben conform de
 resolutie van 26 jan. aan Z.Exc. de inhoud van het schriftelijke
 rapport van
 Van
 de
 Cappelle meegedeeld. Dit handelt over het
 verschaffen van een maand gage voor de troepen onder
 graaf
 Willem in [Gulik en
 Kleef] 
 de beraming deze m","Opt' versouck vanden Student Hazius, Is hem nae voorgaende deliberae toegeleyt tot promotie van syne studie de somme van hondert guldens, Waer van hem ordonnantie gedepescheert sal worden.

Is inde vergaderinge binne gestaen de Secretaris Huygens ende heeft van weegen den Raet van State haer Ho:Mo: "
39,1626-11-12,1626-11-12,0,True,True,11501,[],"date: same-day; places: 5/13 matched (Grisons, Drenthe, Coevorden, Lingen, Wedde); persons: 0/6 matched; orgs: 0/1 matched; anchor: yes; top candidates: ","['Grisons', 'Drenthe', 'Coevorden', 'Lingen', 'Wedde']",[],[],"De RvS compareert en overhandigt zijn propositie ter verkrijging van de consenten voor de petities voor 1627. Tevens verzoekt de Raad aanzuivering van de defecten in de eerdere consenten. 
 HHM danken de Raad voor zijn goede zorgen. De provincies ontvangen kopie van de stukken. 
 De propositieGeïnse","Opt versouck van Caspar Verleth gesecondeert met brieven van Burgemrn en Regierders der Stadt Amsterda in date den iijen deses, Is geaccordeert Octroy voor den tyt v seven Jaeren om alleen te maecken in dese Vereenichde Nederlanden allerlei soorten van dubbelde en enckelde taffen en croone carteecke"
40,1630-05-04,1630-05-04,0,True,True,11501,[],"date: same-day; places: 5/10 matched (Olinda, Saluzzo, Mantua, Emden, Emden); persons: 0/6 matched; orgs: 0/0 matched; anchor: yes; top candidates: ","['Olinda', 'Saluzzo', 'Mantua', 'Emden', 'Emden']",[],[],"Deze resolutie is gedeeltelijk door een
 klerk ingeschreven in S.G. 55. 
 In de vergadering compareert ambassadeur Guzzoni. Hij heeft HHM gelukgewenst met de zege over
 Olinda en Pernambuco. Hij bericht
 verder over de oorlogssituatie tussen de koning van
 Frankrijk
 en
 de hertog van Mantua in het
","Is gelesen de requeste van Wouter van Rymsdyck: Licentmeester binnen der Stadt Grave houdende versouck dat haer Ho:Mo: om de redenen in de Rymsdyck, Convoynr. voors requeste verhaelt, Jan van Rymsdyck syn suppliants soon souden willen verleenen acte expectatif ende commissie vant' voors ampt te bedi"
41,1629-06-05,1629-06-05,0,True,True,10201,[],"date: same-day; places: 0/3 matched; persons: 0/5 matched; orgs: 2/10 matched (2, 29); anchor: yes; top candidates: ",[],[],"['2', '29']","Sommelsdyck en Oenema delen mee dat de
 gisteren genomen resolutie om een delegatie te sturen naar de op
 het punt van de legerlasten in gebreke blijvende provincies,
 vandaag
 naar de RvS is verstuurd. Zij
 hebben
 daarop
 de tekorten nagekeken en het volgende vastgesteld. 
 In Gelderland hebben he","Ontfangen een missive vanden heer Schaffer geschreven tot Liewerden den ijen deses, ende neffens dien, de consenten vande heeren van Vrieslant opde lichtinge vande waergelders: ten ije. op d'alliantie van Sweden: ende ten iije. optije. en ije Consent van Vrieslivyffdepaert inde legerlasten van desen"
42,1627-11-13,1627-11-13,0,True,True,12101,[],"date: same-day; places: 7/22 matched (Seine, Texel, Noorwegen, Bocht, Vlissingen); persons: 0/2 matched; orgs: 0/5 matched; anchor: yes; top candidates: ","['Seine', 'Texel', 'Noorwegen', 'Bocht', 'Vlissingen', 'Walcheren', 'Oostende']",[],[],"Deze resolutie is door een klerk
 ingeschreven in S.G. 52. 
 De gecommitteerden van HHM en degenen die door de heren van Holland nog uit enkele steden zijn opgeroepen, doen in aanwezigheid
 van Z.Exc. en
 Ernst Casimir verslag van het
 overleg
 met de aanwezige afgevaardigden van de
 Admiraliteiten ","Is binnen gestaen Capitein Hemkens comende van 50.

Boloigne ende heeft gecommuniceert een missive vanden Agent Mibassen den vijen. deses aen hem gescreven, houdende dat den Viant met sesthien schepen Is uytgelopen, segt mede dat de Lieutenant Admirael Dorp het uytlopen nyet en hadde vernomen. Waero"
43,1629-03-12,1629-03-12,0,True,True,10901,[],"date: same-day; places: 3/11 matched (Amsterdam, Tunis, Palermo); persons: 0/3 matched; orgs: 0/3 matched; anchor: yes; top candidates: ","['Amsterdam', 'Tunis', 'Palermo']",[],[],"Bas en Beaumont rapporteren dat
 kapitein
 Cleuter nog voor het versturen van
 de brief door HHM op 10 maart van Amsterdam naar
 's-Gravenhage
 is gereisd. Daar hebben zij in aanwezigheid van Z.Exc. met hem
 gesproken over het voorgenomen plan. De kapitein heeft gezegd
 dat
 zijn schip en dat van de","Is gelesen de requeste van Gualterus Gerbrandi Pomeranus predicant opde Leur, clagende over het groot gewelt, foulen en exactien die de soldaten van s‛vyants syde soo door convoyen als andersints hem hebben aengedaen. Ten ije. dat de auditeur tot Breda ende d'officieren vande licenten aldaer, hem su"
44,1627-04-14,1627-04-14,0,True,True,10901,[],"date: same-day; places: 3/15 matched (Gestel, Breda, Postel); persons: 0/4 matched; orgs: 0/0 matched; anchor: yes; top candidates: ","['Gestel', 'Breda', 'Postel']",[],[],"HHM wijzen af: 
 Het verzoek van de ingezetenen van Gestel bij Eindhoven en Oerle en
 Valkenswaard in de
 Meierij van 's-Hertogenbosch om
 een gelijkluidende akte te krijgen als op 2 sept. 1626 is gegeven
 aan de
 dorpen en
 kwartieren van Breda, Bergen op
 Zoom,
 Rijen, Herentals,
 Hoogstraten,
 Ar","Het versoeck vande Ingesetenen van Gestel by Einthoven, mitsgaders oerssen ende Verckensweert inde Meyerie vanden Bosch, om te hebben gelycke acte als den ijen. Septembris 1626. vergunt Is geweest aende Dorpen ende Quartieren van Breda, Bergen op Zoom, Rien, Herentaels, hoochstraten, Arckel, Santhou"
45,1627-12-18,1627-12-18,0,True,True,11201,[],"date: same-day; places: 4/11 matched (Emden, Bourtange, Bellingwolde, Norden); persons: 0/4 matched; orgs: 0/4 matched; anchor: yes; top candidates: ","['Emden', 'Bourtange', 'Bellingwolde', 'Norden']",[],[],"Conform de resolutie van 14 dec. worden met Z.Exc., Ernst Casimir en met de
 RvS de vandaag ontvangen
 brieven besproken, zowel van de Gedeputeerde
 Staten
 van
 Groningen als van commandant Erentreiter,
 en andere berichten over de komst van het
 keizerlijk volk naar Oost-Friesland. 
 Mede gelet op","President de Heer Walta, Present de Heeren Post Prandium

Synde volgens de resolutie vanden xiiijen. deses met Syn Extie. den heere Graeff Ernst Casimir van Nassauw Stadtholder van Vrieslandt, Stadt Groeningen ende Ommelanden @t ende den Raedt van State in deliberatie geleit de missiven alsdoen ophu"
